Description,Actions,Objects
depending on the size tub you havem the thawing time varies,"depend, thaw, tub, vary","havem, size, thawing time"
recommended thawing times are: 8-ounce tube - 4 hours,"recommend, thaw","hours, ounce, ounce tube, times"
12-ounce tub - 5 hours,,"hours, ounce, tub"
16-ounce tub - 6 hours,,"hours, ounce, tub"
we do not recommend thawing cool whip whipped topping in the microwave,"recommend, thaw, whip","cool whip, microwave, whipped topping"
combine first seven ingredients for the sauce your choice in a small saucepan,combine,"choice, ingredients, sauce, small saucepan"
"heat sauce over medium heat until boiling , reduce heat and simmer for 5 minutes","reduce, simmer","boiling, heat, heat sauce, medium heat, minutes"
"remove from heat and allow it to cool , uncovered , for 10 minutes","allow, cool, remove, uncover","heat, minutes"
"while the sauce cools , whisk egg yolk with 2 teaspoons water in a medium bowl until pale yellow","cool, whisk","egg, medium bowl, pale yellow, sauce, teaspoons, teaspoons water, whisk egg yolk"
whisk in cornstarch until dissolved,"dissolve, whisk",cornstarch
drizzle the hot sauce mixture into the egg yolk mixture in a steady stream while rapidly whisking,"drizzle, whisk, yolk","egg, hot sauce, mixture, sauce mixture, steady stream"
cover the sauce and chill until ready to serve,"cover, serve","chill, sauce"
"in a medium-large mixing bowl , add in panko breadcrumbs and set aside","add, set","large mixing bowl, mixing, panko breadcrumbs"
"in a medium sized bowl , mix together flour , cornstarch , salt and black pepper",mix,"black pepper, cornstarch, flour, salt, sized bowl"
"slowly whisk in water , making sure that it is not clumpy","make, whisk",water
"in batches of three to four , drop in hen of the woods mushrooms into slurry then promptly into breadcrumbs",drop,"batches, breadcrumbs, hen, slurry, woods, woods mushrooms"
toss mushrooms in panko until the mushrooms are completely coated,"coat, toss","mushrooms, panko"
"remove the mushrooms from bowl and set out on a baking tray , making sure not to stack them up","make, remove, set, stack","baking, baking tray, bowl, mushrooms"
bring four cups of canola oil up to 350f in a two-quart pot and drop in mushrooms,bring,"canola oil, cups, drop, mushrooms, quart, quart pot"
fry until golden brown and toss in hot sauce,toss,"golden brown, hot sauce"
"except for the diced celery , combine & mix well all other ingredients","combine, dice, mix","diced celery, other ingredients"
spoon mixture into egg halves & garnish w / diced celery,dice,"diced celery, egg, egg halves, mixture, spoon"
"in a bowl , combine flour , cayenne pepper , paprika , salt and pepper",combine,"bowl, cayenne, flour, paprika, pepper, salt"
rinse off wings and coat in flour mixture,rinse,"coat, flour, flour mixture, wings"
spray a large baking sheet with non-stick cooking spray and place wings on baking sheet,"bake, spray","baking, cooking, large baking sheet, non - stick cooking spray, place, place wings, sheet"
"bake wings for 40 minutes , turning once 1 / 2 way through cooking","cook, turn","bake, bake wings, minutes, way"
"while wings are baking , combine butter , frank's hot sauce , and tabasco in a plastic bowl with lid","bake, combine, tabasco","butter, hot sauce, lid, plastic bowl, wings"
"once wings are finished baking , place 8-10 wings in the bowl","bake, finish","bowl, place, wings"
cover and shake to coat,"coat, cover, shake",
serve with ranch dressing !,serve,"ranch, ranch dressing"
"pierce apples with popsicle sticks , set aside","pierce, set","apples, popsicle, popsicle sticks"
melt butter in a medium saucepan,melt,"butter, medium saucepan"
"add remaining ingrediants , and gently bring to a boil , stirring frequently","add, bring, remain, stir","boil, remaining ingrediants"
"cover , reduce heat and simmer for 3 minutes","cover, reduce, simmer","heat, minutes"
do not uncover to stir !,"stir, uncover",
"mixture should be thin , but sticky , and saucepan sides should be steamy",,"mixture, saucepan, saucepan sides"
"stir well , and allow to thicken slightly before dipping apples","allow, dip, stir, thicken",dipping apples
apples may be double dipped if desired,"desire, dip",apples
refrigerate 1-2 hours until caramel is set,"refrigerate, set",hours
"mix flour and baking powder , set aside","bake, mix, set","flour, powder"
"in a bowl , beat eggs , sugar , and margarine",,"beat, beat eggs, bowl, margarine, sugar"
"incorporate flour , alternating with milk","alternate, incorporate","flour, milk"
"without spreading it , pour preperation into a greased 13""x9"" pan","pour, spread","greased 13""x9, pan, pour preperation"
mix all the ingredients for the sauce in a saucepan,mix,"ingredients, sauce, saucepan"
pour over top of the dough,pour,"dough, top"
"heat ""milk"" or broth on med",,"broth, heat, milk"
take a couple tbsp of the hot liquid and mix it with the cornstarch until it dissolves,"dissolve, mix, take","cornstarch, couple, hot liquid, tbsp"
add yeast flakes and spices to hot liquid,add,"hot liquid, spices, yeast, yeast flakes"
add cornstarch to mixture and let it bubble on low heat until it reaches the thickness you want,"add, bubble, let, reach, want","cornstarch, low heat, mixture, thickness"
"you can use more or less liquid , depending on just how thick you want it to be","depend, use, want",
place coconut into a ziploc sandwich bag and drop in several drops of green food coloring,drop,"food coloring, green food, sandwich, several drops, ziploc sandwich bag"
roll around in your hands until all the coconut is tinted,"roll, tint","coconut, hands"
"in a separate bowl , tint some frosting red like ketchup and in another bowl , tint frosting yellow like mustard","frost, tint","bowl, frosting red, frosting yellow, ketchup, mustard, separate bowl, tint"
"decide how many cookies you need , unwrap that many peppermint patties and set out twice as many wafter cookies","decide, need, set","many cookies, many peppermint patties, many wafter cookies, peppermint"
"set half the wafer cookies , flat side up , onto a cookie sheet",set,"cookie, cookie sheet, flat side, wafer, wafer cookies"
put a small dab of vanilla frosting onto cookie and gently press down a peppermint patty,"frost, press, put","cookie, peppermint, peppermint patty, small dab, vanilla"
"spread some ""ketchup"" and some ""mustard"" on top of the patty , sprinkle some ""lettuce"" on it and then place another cookie on top","place, spread, sprinkle","cookie, ketchup, lettuce, mustard, patty, top"
"brush a little honey on the top ""bun"" and sprinkle some sesame seeds onto them","brush, sprinkle","little honey, sesame, sesame seeds, top bun"
take triangularly cut sheets of paper and fold them to resemble a french fry 'bag',"cut, fold, resemble, take","cut sheets, french bag, fry, paper"
"if you want , use markers first to draw some golden arches and write ""mc ___ on them","draw, use, want, write","golden arches, markers, mc"
"then , tape them together and fill with some potato sticks","fill, tape","potato, potato sticks"
place a cheeseburger and bag of fries on a small paper plate and serve !,"place, serve","bag, cheeseburger, fries, paper, small paper plate"
"cook hamburger and onion , drain grease","cook, drain","grease, hamburger, onion"
"add soup and spices , simmer 5-10 minutes","add, simmer","minutes, soup, spices"
"meanwhile , slice top third off bread , hollow out bottom half of loaf , leaving a 3 / 4-inch shell , save bread chunks , or feed to the birds !","feed, hollow, leave, save","birds, bottom half, bread, bread chunks, inch, inch shell, loaf, slice"
"spread top slice of bread , with butter",spread,"bread, butter, top slice"
place hollowed out bread on cookie sheet and broil till lightly browned,"brown, hollow","bread, broil, cookie, cookie sheet"
"take out of oven and fill with meat mixture , top with cheese slices","fill, take","cheese, cheese slices, meat, meat mixture, oven"
"place buttered top next to it , put back in oven at 350","butter, put",place
bake till heated through and top is toasted a little,"heat, toast",
"put the top on , slice into wide slices for sandwiches , about 4-5 inches wide",put,"inches, sandwiches, slice, top, wide slices"
measure all the ingredients for the crab cakes-- except the panko and vegetable oil-- into a large bowl,measure,"crab, crab cakes--, ingredients, large bowl, panko, vegetable"
use a spatula to carefully fold the ingredients together,"fold, use","ingredients, spatula"
be sure not to over stir the mixture or those tasty lumps of crab will fall apart,"fall, stir","crab, mixture, tasty lumps"
the best crab cakes have nice big chunks of crab in'em,have,"best crab cakes, crab, in'em, nice big chunks"
use your hands or a spoon to fill six cups of a clean muffin tin with equal amounts of the crab mixture,"fill, use","clean muffin tin, crab, crab mixture, cups, equal amounts, hands, muffin, spoon"
press down a bit on each crab cake so that the top is flat,press,"bit, crab, crab cake, top"
don't press too hard or the crab cakes will be hard to get out,"get, press","crab, crab cakes"
cover the muffin tin with plastic wrap and pop it in the fridge for a couple hours,"cover, pop","couple, fridge, hours, muffin, muffin tin, plastic wrap"
this step will help the cakes stay together when they're browned in the oil,"brown, help, stay","cakes, oil, step"
"after the crab cakes have chilled through , heat up about 1 / 4-inch of vegetable oil in large skillet over medium / low heat","chill, heat","crab, crab cakes, inch, large skillet, low heat, vegetable oil"
fill a shallow bowl with the panko breadcrumbs,fill,"panko breadcrumbs, shallow bowl"
carefully turn the crab cakes out onto a plate,turn,"crab, crab cakes, plate"
gently roll each crab cake around in the panko breadcrumbs,roll,"crab, crab cake, panko breadcrumbs"
each crab cake should be wearing a light coating of panko,wear,"crab, crab cake, light coating, panko"
test the oil by dropping a pinch of panko into the pan,"drop, test","oil, pan, panko, pinch"
saut the crab cakes in the hot oil for 1 1 / 2 to 3 minutes on each side or until the cakes are golden brown,saut,"cakes, crab, crab cakes, hot oil, minutes, side"
"drain crab cakes on paper towels or a rack very briefly , then serve them up hot with the remoulade sauce alongside in a little dish","drain, serve","crab, crab cakes, little dish, paper, paper towels, rack, remoulade, remoulade sauce"
makes 6 small crab cakes,make,"crab, small crab cakes"
"slice carrots and steam , set aside",set,"slice, slice carrots, steam"
saute parsley and garlic for 1 minute in an oiled pan,oil,"garlic, minute, oiled pan"
add carrots and veggie broth,add,"carrots, veggie broth"
simmer uncovered for 5 minutes,uncover,minutes
"add tofu , vegan cream cheese , and lemon juice",add,"cream cheese, lemon, lemon juice, tofu, vegan, vegan cream"
"cook over medium heat stirring constantly until ""cheese"" starts to melt","cook, melt, start, stir","cheese, medium heat"
